chrom	start	end	g_chrom	g_start	g_end
chr2	169757468	169757785	chr2_gl383522_alt	87585	87902
chr2	169757774	169758090	chr2_gl383522_alt	87891	88207
chr2	169758864	169759156	chr2_gl383522_alt	88981	89273
chr2	169760896	169761205	chr2_gl383522_alt	91013	91322
chr2	169763072	169763388	chr2_gl383522_alt	93189	93505
chr2	169763994	169764316	chr2_gl383522_alt	94111	94433
chr2	169764305	169764599	chr2_gl383522_alt	94422	94716
chr2	169764588	169764912	chr2_gl383522_alt	94705	95029
chr2	169764901	169765156	chr2_gl383522_alt	95018	95273
chr2	169765145	169765432	chr2_gl383522_alt	95262	95549
chr2	169765411	169765633	chr2_gl383522_alt	95528	95750
chr2	169765622	169765906	chr2_gl383522_alt	95739	96023
chr2	169765895	169766165	chr2_gl383522_alt	96012	96282
chr2	169766154	169766306	chr2_gl383522_alt	96271	96423
chr6	29640271	29640598	chr6_ssto_hap7	980824	981151
chr6	29640271	29640598	chr6_qbl_hap6	943591	943918
chr6	29640271	29640598	chr6_mcf_hap5	943453	943780
chr6	29640271	29640598	chr6_mann_hap4	943228	943555
chr6	29640271	29640598	chr6_dbb_hap3	943625	943952
chr6	29640271	29640598	chr6_cox_hap2	1159073	1159400
chr6	29640271	29640598	chr6_apd_hap1	943796	944123
chr6	29640587	29640917	chr6_ssto_hap7	981140	981470
chr6	29640587	29640917	chr6_qbl_hap6	943907	944237
chr6	29640587	29640917	chr6_mcf_hap5	943769	944099
chr6	29640587	29640917	chr6_mann_hap4	943544	943874
chr6	29640587	29640917	chr6_dbb_hap3	943941	944271
chr6	29640587	29640917	chr6_cox_hap2	1159389	1159719
chr6	29640895	29641222	chr6_ssto_hap7	981448	981775
chr6	29640895	29641222	chr6_qbl_hap6	944215	944542
chr6	29640895	29641222	chr6_mcf_hap5	944077	944404
chr6	29640895	29641222	chr6_mann_hap4	943852	944179
chr6	29640895	29641222	chr6_dbb_hap3	944249	944576
chr6	29640895	29641222	chr6_cox_hap2	1159697	1160024
chr6	29641198	29641514	chr6_ssto_hap7	981751	982067
chr6	29641198	29641514	chr6_qbl_hap6	944518	944834
chr6	29641198	29641514	chr6_mcf_hap5	944380	944696
chr6	29641198	29641514	chr6_mann_hap4	944155	944471
chr6	29641198	29641514	chr6_dbb_hap3	944552	944868
chr6	29641198	29641514	chr6_cox_hap2	1160000	1160316
chr6	29643038	29643361	chr6_ssto_hap7	983590	983913
chr6	29643038	29643361	chr6_qbl_hap6	946359	946682
chr6	29643038	29643361	chr6_mcf_hap5	946215	946538
chr6	29643038	29643361	chr6_mann_hap4	945995	946318
chr6	29643038	29643361	chr6_dbb_hap3	946393	946716
chr6	29643038	29643361	chr6_cox_hap2	1161847	1162170
chr6	29644481	29644804	chr6_ssto_hap7	985032	985355
chr6	29644481	29644804	chr6_qbl_hap6	947803	948126
chr6	29644481	29644804	chr6_mcf_hap5	947658	947981
chr6	29644481	29644804	chr6_mann_hap4	947439	947762
chr6	29644481	29644804	chr6_dbb_hap3	947837	948160
